BJD_Code,year,day,type,acid,phosphate,silicate,OM,Mg,K,Ca,EC,jibun
5013032024,2020,20200618,2,6,10,NA,254,0.6,0.1,0.8,0.49,제주특별자치도 서귀포시 표선면 가시리 3665-30
5013032024,2020,20200618,2,5.9,10,NA,238,0.4,0.07,0.6,0.38,제주특별자치도 서귀포시 표선면 가시리 3665-33
5013032024,2020,20200618,2,5.9,10,NA,245,0.6,0.1,0.7,0.43,제주특별자치도 서귀포시 표선면 가시리 3665-34
5013032024,2020,20200618,2,5.9,10,NA,250,0.6,0.1,0.7,0.46,제주특별자치도 서귀포시 표선면 가시리 3665-35
5013032024,2020,20200618,2,6.4,10,NA,189,0.2,0.06,0.4,0.16,제주특별자치도 서귀포시 표선면 가시리 3665-36
5013032024,2020,20200618,2,6.3,10,NA,204,0.2,0.06,0.4,0.16,제주특별자치도 서귀포시 표선면 가시리 3665-37
5013032024,2020,20200618,2,6,10,NA,164,0.9,0.18,2,0.31,제주특별자치도 서귀포시 표선면 가시리 3665-38
5013032024,2020,20200618,2,6.2,10,NA,143,2.1,0.45,4.5,0.42,제주특별자치도 서귀포시 표선면 가시리 3665-40
5013032024,2020,20200618,2,6,10,NA,163,1.3,0.31,2.3,0.31,제주특별자치도 서귀포시 표선면 가시리 3665-44
5013032024,2020,20200618,2,6.2,10,NA,186,0.2,0.04,0.5,0.14,제주특별자치도 서귀포시 표선면 가시리 3665-45
5013032024,2020,20200618,2,5.6,10,NA,223,0.6,0.06,1,0.44,제주특별자치도 서귀포시 표선면 가시리 3665-46
5013032024,2020,20200618,2,5.8,10,NA,165,1.2,0.32,0.9,0.54,제주특별자치도 서귀포시 표선면 가시리 3665-48
5013032024,2020,20200618,2,5.8,10,NA,188,1.2,0.33,2.5,0.6,제주특별자치도 서귀포시 표선면 가시리 3665-49
5013032024,2020,20200618,2,6.1,10,NA,202,0.9,0.2,2.4,0.21,제주특별자치도 서귀포시 표선면 가시리 3665-50
5013032024,2020,20200618,2,5.9,10,NA,164,0.2,0.03,0.6,0.4,제주특별자치도 서귀포시 표선면 가시리 3665-51
