farm_id,sensing_at,temp,humi,light,press,month,week
xab,2021-11-16,12.7,55.5,1,3.42,11,3
cbb,2021-11-16,12.3,50.6,1,3.8,11,3
dbb,2021-11-16,12.8,55.8,1,6.12,11,3
aab,2021-11-17,15.2,45.9,1,9.11,11,3
bab,2021-11-17,16.1,39.9,1,17.9,11,3
cab,2021-11-17,10.2,64.7,1,0,11,3
dab,2021-11-17,11.1,63.4,1,11.73,11,3
eab,2021-11-17,13.1,51,1,3.44,11,3
gab,2021-11-17,12.7,41.5,1,6.94,11,3
hab,2021-11-17,13.2,46.9,1,5.57,11,3
iab,2021-11-17,11.1,63.4,1,11.73,11,3
kab,2021-11-17,13.1,55.8,1,5.49,11,3
lab,2021-11-17,13.3,48.8,1,7.33,11,3
mab,2021-11-17,13.6,46.2,1,6.58,11,3
pab,2021-11-17,13.2,48.4,1,3.75,11,3
qab,2021-11-17,13,46.7,1,2.67,11,3
rab,2021-11-17,12.4,52.3,1,2.88,11,3
sab,2021-11-17,13.1,51,1,3.44,11,3
tab,2021-11-17,13.1,55.8,1,5.49,11,3
uab,2021-11-17,11.6,51.7,1,7.5,11,3
wab,2021-11-17,12.7,41.5,1,6.94,11,3
xab,2021-11-17,12.7,48.1,1,6.42,11,3
cbb,2021-11-17,12.7,41.5,1,6.94,11,3
dbb,2021-11-17,13.3,48.8,1,7.33,11,3
aab,2021-11-18,13,50.7,1,7.12,11,3
bab,2021-11-18,11.7,49.9,1,9.19,11,3
cab,2021-11-18,10.6,62.5,1,0,11,3
dab,2021-11-18,11.7,61,1,11.96,11,3
eab,2021-11-18,13,48.3,1,3.02,11,3
gab,2021-11-18,12.7,42.7,1,7.22,11,3
hab,2021-11-18,13.5,48.5,1,5.71,11,3
iab,2021-11-18,11.7,61,1,11.96,11,3
kab,2021-11-18,11.6,54.1,1,5.51,11,3
lab,2021-11-18,12.8,54.9,1,6.76,11,3
mab,2021-11-18,13.8,43,1,6.96,11,3
pab,2021-11-18,13.3,52.4,1,3.79,11,3
qab,2021-11-18,12.1,54.8,1,2.75,11,3
rab,2021-11-18,12.7,48.1,1,2.92,11,3
sab,2021-11-18,13,48.3,1,3.02,11,3
tab,2021-11-18,11.6,54.1,1,5.51,11,3
uab,2021-11-18,10.6,55.8,1,5.7,11,3
wab,2021-11-18,12.7,42.7,1,7.22,11,3
xab,2021-11-18,13,50.5,1,7.17,11,3
cbb,2021-11-18,12.7,42.7,1,7.22,11,3
dbb,2021-11-18,12.8,54.9,1,6.76,11,3
aab,2021-11-19,12.3,52.9,1,7.4,11,3
bab,2021-11-19,9.4,53.2,1,7.33,11,3
cab,2021-11-19,9,66,1,0,11,3
dab,2021-11-19,10.9,59.8,1,12.59,11,3
eab,2021-11-19,12.5,46.9,1,3.2,11,3
gab,2021-11-19,12.7,41.8,1,8.02,11,3
hab,2021-11-19,13.3,46.4,1,5.92,11,3
iab,2021-11-19,10.9,59.8,1,12.59,11,3
kab,2021-11-19,11.7,53.4,1,5.71,11,3
lab,2021-11-19,13.6,45.1,1,8.89,11,3
mab,2021-11-19,13.5,40.2,1,7.38,11,3
pab,2021-11-19,12.5,46.9,1,4.88,11,3
qab,2021-11-19,12.1,50.6,1,3.94,11,3
rab,2021-11-19,12.2,46.7,1,3.21,11,3
sab,2021-11-19,12.5,46.9,1,3.2,11,3
tab,2021-11-19,11.7,53.4,1,5.71,11,3
uab,2021-11-19,10.1,54.9,1,4.41,11,3
wab,2021-11-19,12.7,41.8,1,8.02,11,3
xab,2021-11-19,12.8,49.9,1,7.83,11,3
cbb,2021-11-19,12.7,41.8,1,8.02,11,3
dbb,2021-11-19,13.6,45.1,1,8.89,11,3
aab,2021-11-20,14,56,1,6.97,11,3
bab,2021-11-20,11.2,58.3,1,8.65,11,3
cab,2021-11-20,10.6,71.3,1,0,11,3
dab,2021-11-20,12,68.6,1,11.79,11,3
eab,2021-11-20,13.7,49.6,1,3.17,11,3
gab,2021-11-20,13.7,45.6,1,6.53,11,3
hab,2021-11-20,13.6,54.1,1,5.49,11,3
iab,2021-11-20,12,68.6,1,11.79,11,3
kab,2021-11-20,13.8,63.5,1,5.31,11,3
lab,2021-11-20,14.7,49.8,1,6.58,11,3
mab,2021-11-20,14.2,45.5,1,6.42,11,3
pab,2021-11-20,13.7,51,1,5,11,3
qab,2021-11-20,23.8,35.7,1,9,11,3
rab,2021-11-20,12.6,52,1,2.94,11,3
sab,2021-11-20,13.7,49.6,1,3.17,11,3
tab,2021-11-20,13.8,63.5,1,5.31,11,3
uab,2021-11-20,14.8,52.4,1,10.88,11,3
wab,2021-11-20,13.7,45.6,1,6.53,11,3
xab,2021-11-20,13.9,53.5,1,7.1,11,3
cbb,2021-11-20,13.7,45.6,1,6.53,11,3
dbb,2021-11-20,14.7,49.8,1,6.58,11,3
aab,2021-11-21,15.1,68.7,1,4.04,11,4
bab,2021-11-21,14.5,67.6,1,5.9,11,4
cab,2021-11-21,13.5,78.4,1,0,11,4
dab,2021-11-21,14.8,72.1,1,8.26,11,4
eab,2021-11-21,15.4,62.4,1,1.68,11,4
gab,2021-11-21,15.3,64.8,1,3.22,11,4
hab,2021-11-21,15,66.7,1,3.06,11,4
iab,2021-11-21,14.8,72.1,1,8.26,11,4
kab,2021-11-21,14.8,68.5,1,3.39,11,4
lab,2021-11-21,15.8,64.8,1,5.02,11,4
mab,2021-11-21,16.3,62.1,1,2.79,11,4
pab,2021-11-21,14.9,67.6,1,2.5,11,4
qab,2021-11-21,14.4,72.5,1,1.69,11,4
rab,2021-11-21,15.2,64.4,1,1.21,11,4
sab,2021-11-21,15.4,62.4,1,1.68,11,4
tab,2021-11-21,14.8,68.5,1,3.39,11,4
uab,2021-11-21,13.3,71.5,1,1.26,11,4
wab,2021-11-21,15.3,64.8,1,3.22,11,4
xab,2021-11-21,14.9,67.7,1,2.58,11,4
cbb,2021-11-21,15.3,64.8,1,3.22,11,4
dbb,2021-11-21,15.8,64.8,1,5.02,11,4
aab,2021-11-22,10.3,59.8,1,6.56,11,4
bab,2021-11-22,9.4,60.1,1,4.3,11,4
cab,2021-11-22,9.8,68.6,1,0,11,4
dab,2021-11-22,9.7,63.3,1,6.09,11,4
eab,2021-11-22,9.7,55.3,1,2.78,11,4
gab,2021-11-22,8.8,63.6,1,3.31,11,4
hab,2021-11-22,10.7,58.4,1,5,11,4
iab,2021-11-22,9.7,63.3,1,6.09,11,4
kab,2021-11-22,10.5,62.5,1,4.92,11,4
lab,2021-11-22,12,54.2,1,6.07,11,4
mab,2021-11-22,10.5,55,1,3.75,11,4
pab,2021-11-22,11.3,54.5,1,2.83,11,4
qab,2021-11-22,9.7,65.3,1,2.91,11,4
rab,2021-11-22,9.9,58.4,1,1.73,11,4
sab,2021-11-22,9.7,55.3,1,2.78,11,4
tab,2021-11-22,10.5,62.5,1,4.92,11,4
uab,2021-11-22,10.5,59.2,1,5.6,11,4
wab,2021-11-22,8.8,63.6,1,3.31,11,4
xab,2021-11-22,10.3,59,1,4.69,11,4
cbb,2021-11-22,8.8,63.6,1,3.31,11,4
dbb,2021-11-22,12,54.2,1,6.07,11,4
aab,2021-11-23,8.8,55.1,1,6.06,11,4
bab,2021-11-23,8.6,51.1,1,3.28,11,4
cab,2021-11-23,8.7,56.9,1,0,11,4
dab,2021-11-23,8.6,54.9,1,5.9,11,4
eab,2021-11-23,7.4,56.2,1,1.66,11,4
gab,2021-11-23,7.4,58.1,1,2.03,11,4
hab,2021-11-23,9,54.3,1,4.75,11,4
iab,2021-11-23,8.6,54.9,1,5.9,11,4
kab,2021-11-23,8.6,57.6,1,4.07,11,4
lab,2021-11-23,7.2,57.7,1,3.74,11,4
mab,2021-11-23,8.5,52.9,1,2.08,11,4
pab,2021-11-23,8.7,51.6,1,4.04,11,4
qab,2021-11-23,7.5,59,1,3.05,11,4
rab,2021-11-23,7.5,57.3,1,0.92,11,4
sab,2021-11-23,7.4,56.2,1,1.66,11,4
tab,2021-11-23,8.6,57.6,1,4.07,11,4
uab,2021-11-23,8.9,52.5,1,6.32,11,4
wab,2021-11-23,7.4,58.1,1,2.03,11,4
xab,2021-11-23,8.8,54.7,1,4.98,11,4
cbb,2021-11-23,7.4,58.1,1,2.03,11,4
dbb,2021-11-23,7.2,57.7,1,3.74,11,4
aab,2021-11-24,10.1,49.6,1,6.47,11,4
bab,2021-11-24,10.6,44.6,1,6.86,11,4
cab,2021-11-24,10.3,54.1,1,0,11,4
dab,2021-11-24,10.8,49.6,1,11.03,11,4
eab,2021-11-24,8.8,51.7,1,1.26,11,4
gab,2021-11-24,9.3,51.9,1,4.65,11,4
hab,2021-11-24,10.1,46.3,1,5.48,11,4
iab,2021-11-24,10.8,49.6,1,11.03,11,4
kab,2021-11-24,8.7,51.7,1,4.54,11,4
lab,2021-11-24,10,53.4,1,6.83,11,4
mab,2021-11-24,10.6,46,1,4.75,11,4
pab,2021-11-24,9.3,54.9,1,4.79,11,4
qab,2021-11-24,11,48.5,1,3.69,11,4
rab,2021-11-24,9.4,49.7,1,1.88,11,4
sab,2021-11-24,8.8,51.7,1,1.26,11,4
tab,2021-11-24,8.7,51.7,1,4.54,11,4
uab,2021-11-24,9.3,47.4,1,7.1,11,4
wab,2021-11-24,9.3,51.9,1,4.65,11,4
xab,2021-11-24,10.4,48.6,1,6.23,11,4
cbb,2021-11-24,9.3,51.9,1,4.65,11,4
dbb,2021-11-24,10,53.4,1,6.83,11,4
aab,2021-11-25,11.3,55.1,1,6.85,11,4
bab,2021-11-25,12.2,49.9,1,10.43,11,4
cab,2021-11-25,10.8,64.5,1,0,11,4
dab,2021-11-25,11.8,58.5,1,12.04,11,4
eab,2021-11-25,10.9,52.1,1,2.72,11,4
gab,2021-11-25,10.4,57.9,1,6.06,11,4
hab,2021-11-25,11.5,50.7,1,5.72,11,4
iab,2021-11-25,11.8,58.5,1,12.04,11,4
kab,2021-11-25,10,55.9,1,4.89,11,4
lab,2021-11-25,13.3,47.8,1,6.9,11,4
mab,2021-11-25,8.7,63.7,1,0.33,11,4
pab,2021-11-25,11.3,51,1,4.62,11,4
qab,2021-11-25,10,56,1,3.57,11,4
rab,2021-11-25,10.1,54.9,1,2.54,11,4
sab,2021-11-25,10.9,52.1,1,2.72,11,4
tab,2021-11-25,10,55.9,1,4.89,11,4
uab,2021-11-25,9.6,54.2,1,7.11,11,4
wab,2021-11-25,10.4,57.9,1,6.06,11,4
xab,2021-11-25,11.1,52.5,1,6.25,11,4
cbb,2021-11-25,10.4,57.9,1,6.06,11,4
dbb,2021-11-25,13.3,47.8,1,6.9,11,4
aab,2021-11-26,10.9,53.9,1,6.99,11,4
bab,2021-11-26,8.8,54.6,1,9.48,11,4
cab,2021-11-26,7.7,70.2,1,0,11,4
dab,2021-11-26,9,64.1,1,11.87,11,4
eab,2021-11-26,11.5,38.2,1,3.19,11,4
gab,2021-11-26,10.6,46.6,1,7.26,11,4
hab,2021-11-26,10.8,50.3,1,5.9,11,4
iab,2021-11-26,9,64.1,1,11.87,11,4
kab,2021-11-26,9.6,56.5,1,5.24,11,4
lab,2021-11-26,13.1,45.1,1,6.92,11,4
mab,2021-11-26,14.5,27.2,1,10.53,11,4
pab,2021-11-26,11.7,43,1,6.96,11,4
qab,2021-11-26,10.6,51.2,1,3.14,11,4
rab,2021-11-26,11,38.3,1,3.33,11,4
sab,2021-11-26,11.5,38.2,1,3.19,11,4
tab,2021-11-26,9.6,56.5,1,5.24,11,4
uab,2021-11-26,10.9,51.5,1,8.46,11,4
wab,2021-11-26,10.6,46.6,1,7.26,11,4
xab,2021-11-26,10.9,50.5,1,6.5,11,4
cbb,2021-11-26,10.6,46.6,1,7.26,11,4
dbb,2021-11-26,13.1,45.1,1,6.92,11,4
aab,2021-11-27,9,51.2,1,7.18,11,4
bab,2021-11-27,8.4,53.5,1,10.34,11,4
cab,2021-11-27,8.4,60.4,1,2.97,11,4
dab,2021-11-27,7.8,59.8,1,11.85,11,4
eab,2021-11-27,9.7,46.9,1,3.23,11,4
gab,2021-11-27,9.6,49.4,1,6.96,11,4
hab,2021-11-27,8.8,47.1,1,6,11,4
iab,2021-11-27,7.8,59.8,1,11.85,11,4
kab,2021-11-27,7.5,51.7,1,5.28,11,4
lab,2021-11-27,9.3,52.9,1,5.71,11,4
mab,2021-11-27,10.7,42.2,1,7.21,11,4
pab,2021-11-27,10.4,46.2,1,7.12,11,4
qab,2021-11-27,9.6,49.3,1,5.23,11,4
rab,2021-11-27,9.6,45.4,1,3.1,11,4
sab,2021-11-27,9.7,46.9,1,3.23,11,4
tab,2021-11-27,7.5,51.7,1,5.28,11,4
uab,2021-11-27,9.3,51.7,1.02,8.24,11,4
wab,2021-11-27,9.6,49.4,1,6.96,11,4
xab,2021-11-27,9.1,47.8,1,6.73,11,4
