"BJD_Code","sido","sigungu","addr_1","addr_2","dong","li"
5013025023,"제주특별자치도","서귀포시_대정읍","서귀포_대정","제주특별자치도_서귀포시_대정읍_안성리","대정읍","안성리"
5013025024,"제주특별자치도","서귀포시_대정읍","서귀포_대정","제주특별자치도_서귀포시_대정읍_인성리","대정읍","인성리"
5013025025,"제주특별자치도","서귀포시_대정읍","서귀포_대정","제주특별자치도_서귀포시_대정읍_일과리","대정읍","일과리"
5013025026,"제주특별자치도","서귀포시_대정읍","서귀포_대정","제주특별자치도_서귀포시_대정읍_가파리","대정읍","가파리"
5013025027,"제주특별자치도","서귀포시_대정읍","서귀포_대정","제주특별자치도_서귀포시_대정읍_신평리","대정읍","신평리"
5013025028,"제주특별자치도","서귀포시_대정읍","서귀포_대정","제주특별자치도_서귀포시_대정읍_동일리","대정읍","동일리"
5013025029,"제주특별자치도","서귀포시_대정읍","서귀포_대정","제주특별자치도_서귀포시_대정읍_보성리","대정읍","보성리"
5013025030,"제주특별자치도","서귀포시_대정읍","서귀포_대정","제주특별자치도_서귀포시_대정읍_구억리","대정읍","구억리"
5013025031,"제주특별자치도","서귀포시_대정읍","서귀포_대정","제주특별자치도_서귀포시_대정읍_무릉리","대정읍","무릉리"
5013025032,"제주특별자치도","서귀포시_대정읍","서귀포_대정","제주특별자치도_서귀포시_대정읍_영락리","대정읍","영락리"
5013025033,"제주특별자치도","서귀포시_대정읍","서귀포_대정","제주특별자치도_서귀포시_대정읍_신도리","대정읍","신도리"
5013025321,"제주특별자치도","서귀포시_남원읍","서귀포_남원","제주특별자치도_서귀포시_남원읍_남원리","남원읍","남원리"
5013025322,"제주특별자치도","서귀포시_남원읍","서귀포_남원","제주특별자치도_서귀포시_남원읍_태흥리","남원읍","태흥리"
5013025323,"제주특별자치도","서귀포시_남원읍","서귀포_남원","제주특별자치도_서귀포시_남원읍_한남리","남원읍","한남리"
5013025324,"제주특별자치도","서귀포시_남원읍","서귀포_남원","제주특별자치도_서귀포시_남원읍_수망리","남원읍","수망리"
5013025325,"제주특별자치도","서귀포시_남원읍","서귀포_남원","제주특별자치도_서귀포시_남원읍_의귀리","남원읍","의귀리"
5013025326,"제주특별자치도","서귀포시_남원읍","서귀포_남원","제주특별자치도_서귀포시_남원읍_신흥리","남원읍","신흥리"
5013025327,"제주특별자치도","서귀포시_남원읍","서귀포_남원","제주특별자치도_서귀포시_남원읍_위미리","남원읍","위미리"
5013025328,"제주특별자치도","서귀포시_남원읍","서귀포_남원","제주특별자치도_서귀포시_남원읍_하례리","남원읍","하례리"
5013025329,"제주특별자치도","서귀포시_남원읍","서귀포_남원","제주특별자치도_서귀포시_남원읍_신례리","남원읍","신례리"
5013025901,"제주특별자치도","서귀포시_성산읍","서귀포_성산","제주특별자치도_서귀포시_성산읍_신양리","성산읍","신양리"
5013025921,"제주특별자치도","서귀포시_성산읍","서귀포_성산","제주특별자치도_서귀포시_성산읍_성산리","성산읍","성산리"
5013025922,"제주특별자치도","서귀포시_성산읍","서귀포_성산","제주특별자치도_서귀포시_성산읍_오조리","성산읍","오조리"
5013025923,"제주특별자치도","서귀포시_성산읍","서귀포_성산","제주특별자치도_서귀포시_성산읍_시흥리","성산읍","시흥리"
5013025924,"제주특별자치도","서귀포시_성산읍","서귀포_성산","제주특별자치도_서귀포시_성산읍_고성리","성산읍","고성리"
