"","code","year","month","day","type","acid","phosphate","OM","Mg","K","Ca","EC","jibun","sido","sigungu","addr_1","addr_2","dong","li","ymd","ym","cnt"
"718","5011025024","2022","06","24","4",7.2,369,162,6.8,2.92,23.4,1.9,"제주특별자치도 제주시 한림읍 한림리 186-2","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_한림리","한림읍","한림리",2022-06-24,2022-01-01,1
"731","5011025025","2020","10","21","4",5,886,109,1,0.83,4.4,0.2,"제주특별자치도 제주시 한림읍 금악리 2159","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2020-10-21,2020-01-01,1
"732","5011025025","2020","12","31","4",7.5,278,38,0.8,2.67,5.7,0.2,"제주특별자치도 제주시 한림읍 금악리 2021-2","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2020-12-31,2020-01-01,1
"733","5011025025","2020","12","31","4",5.6,476,78,1.7,0.69,2.6,0.2,"제주특별자치도 제주시 한림읍 금악리 3020","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2020-12-31,2020-01-01,1
"734","5011025025","2020","03","09","4",5.5,1067,109,1.8,1.02,9.9,0.5,"제주특별자치도 제주시 한림읍 금악리 2301-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2020-03-09,2020-01-01,1
"735","5011025025","2020","05","04","4",5.2,203,83,0.9,0.36,5.4,0.3,"제주특별자치도 제주시 한림읍 금악리 2898","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2020-05-04,2020-01-01,1
"1253","5011025025","2020","04","23","4",5.8,506,65,1.6,0.72,6.7,0.2,"제주특별자치도 제주시 한림읍 금악리 1886-4","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2020-04-23,2020-01-01,1
"1254","5011025025","2020","04","23","4",5.6,826,72,1.3,0.55,5.2,0.2,"제주특별자치도 제주시 한림읍 금악리 1882-7","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2020-04-23,2020-01-01,1
"1255","5011025025","2020","04","23","4",6,481,60,2,0.58,7.5,0.3,"제주특별자치도 제주시 한림읍 금악리 1882-2","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2020-04-23,2020-01-01,1
"1256","5011025025","2020","08","07","4",6.1,203,88,0.6,1.74,2.7,0.2,"제주특별자치도 제주시 한림읍 금악리 2470","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2020-08-07,2020-01-01,1
