,code,year,month,day,type,acid,phosphate,OM,Mg,K,Ca,EC,ymd,cnt,longitude,latitude
83,5011025021,2020,12,2,2,7.1,612,35,2.7,1.07,7.1,0.4,12/2/2020,1,126.2823616,33.44072565
84,5011025021,2020,12,11,2,7,926,49,2.7,1.09,7.1,0.4,12/11/2020,1,126.2968755,33.44388924
85,5011025021,2020,12,11,2,6.8,982,42,3,0.89,6.6,0.9,12/11/2020,1,126.2962585,33.425133
86,5011025021,2020,8,7,3,7.3,339,48,1.1,1.67,4.9,0.2,8/7/2020,1,126.291712,33.42097866
87,5011025021,2020,8,7,3,6.9,323,32,0.8,1.41,4,0.2,8/7/2020,1,126.2913045,33.42085155
88,5011025021,2020,8,7,3,7.6,387,59,2.7,0.01,0.1,0.4,8/7/2020,1,126.2918,33.42070778
89,5011025021,2020,8,7,3,6.9,406,54,3,2.5,9.5,0.3,8/7/2020,1,126.2913956,33.42060801
90,5011025021,2020,8,7,3,6.7,1386,160,1.2,1.67,7.1,0.5,8/7/2020,1,126.29188,33.4202588
91,5011025021,2020,8,7,3,6.8,332,69,1.4,1.73,6.1,0.3,8/7/2020,1,126.2917635,33.42042664
92,5011025021,2020,2,28,4,6.8,1367,105,3,2.41,11.6,2.5,2/28/2020,1,126.2989168,33.42240389
93,5011025021,2020,11,13,4,5.7,142,33,3,0.39,2.3,0.1,11/13/2020,1,126.2862827,33.43137755
94,5011025021,2020,9,23,2,5,723.6,40.1,1.06,0.867,2.16,0.37,9/23/2020,1,126.296259,33.41962213
95,5011025021,2020,9,23,2,5.5,1042.1,41.1,1.57,1.074,3.43,0.56,9/23/2020,1,126.2957074,33.42026391
96,5011025021,2020,9,23,2,5.2,1037.5,41.1,1.26,1.187,3.33,0.59,9/23/2020,1,126.2970129,33.42237869
97,5011025021,2020,9,23,2,5.7,1003.9,33.7,1.85,1.216,4.75,0.48,9/23/2020,1,126.2934722,33.42562124
98,5011025021,2020,9,23,2,4.2,933.4,28.9,0.76,1.095,0.91,0.93,9/23/2020,1,126.2986103,33.4303392
99,5011025021,2020,9,23,2,6.6,57.9,25.2,2.66,0.572,10.96,0.82,9/23/2020,1,126.3005428,33.43160359
